Price,Increse_Rate
323250.00,0.03
320250.00,-0.02
330500.00,0.00
335000.00,0.01
336000.00,0.00
330000.00,-0.01
327000.00,0.01
321900.00,0.00
331000.00,0.01
332500.00,0.02
330500.00,0.05
325000.00,0.03
330750.00,0.02
339000.00,0.06
338100.00,0.02
347900.00,0.04
340000.00,0.01
349500.00,0.06
340500.00,0.04
330000.00,0.03
340000.00,0.03
343000.00,0.03
339490.00,0.03
341500.00,0.05
337500.00,0.02
330000.00,-0.03
355000.00,0.05
360000.00,0.03
357000.00,0.05
356500.00,0.02
353000.00,0.04
353000.00,0.07
355750.00,0.05
355000.00,0.04
357000.00,0.05
348000.00,0.02
368000.00,0.09
377000.00,0.14
366000.00,0.03
385000.00,0.07
388000.00,0.09
385000.00,0.08
378000.00,0.07
390000.00,0.10
396900.00,0.12
401750.00,0.13
412000.00,0.15
410000.00,0.18
425000.00,0.15
453000.00,0.20
488800.00,0.34
501000.00,0.30
483000.00,0.24
472750.00,0.23
469995.00,0.24
473250.00,0.21
490000.00,0.23
485000.00,0.21
485000.00,0.18
478000.00,0.17
498000.00,0.17
510000.00,0.13
516800.00,0.06
530000.00,0.06
535000.00,0.11
535000.00,0.13
524900.00,0.12
520000.00,0.10
545000.00,0.11
536000.00,0.11
530000.00,0.09
526500.00,0.10
531000.00,0.07
543500.00,0.07
547750.00,0.06
565000.00,0.07
570000.00,0.07
570000.00,0.07
565000.00,0.08
570000.00,0.10
574900.00,0.05
590000.00,0.10
592250.00,0.12
580000.00,0.10
594500.00,0.12
641500.00,0.18
635000.00,0.16
580000.00,0.03
595050.00,0.04
610000.00,0.07
615000.00,0.09
600000.00,0.05
597000.00,0.04
580000.00,-0.02
569500.00,-0.04
565000.00,-0.03
581250.00,-0.02
618000.00,-0.04
647000.00,0.02
641000.00,0.11
640000.00,0.08
640000.00,0.05
645000.00,0.05
640000.00,0.07
650000.00,0.09
655000.00,0.13
648000.00,0.14
651000.00,0.15
708000.00,0.28
745000.00,0.21
