Price,Increse_Rate
599450,0.0498
667000,0.0287
669500,0.0712
682000,0.0479
660500,0.0231
655000,0.0989
610000,0.0609
590250,0.0732
650000,0.0709
659000,0.0672
660000,0.138
628000,0.1619
699000,0.1661
751000,0.1259
699500,0.0448
730000,0.0704
728000,0.1022
715000,0.0916
680000,0.1148
657000,0.1131
727000,0.1185
740000,0.1229
730000,0.1061
677000,0.078
746250,0.0676
810500,0.0792
807500,0.1544
810000,0.1096
828000,0.1374
799900,0.1187
740000,0.0882
753000,0.1461
791500,0.0887
820050,0.1082
795000,0.089
740000,0.0931
787000,0.0546
920000,0.1351
880000,0.0898
961000,0.1864
960000,0.1594
940000,0.1751
885000,0.1959
865000,0.1487
954000,0.2053
1000000,0.2194
1003800,0.2626
950000,0.2838
1012000,0.2859
1255000,0.3641
1250500,0.421
1275000,0.3267
1101750,0.1477
1075000,0.1436
957500,0.0819
895000,0.0347
1000000,0.0482
994500,-0.0055
947000,-0.0566
945944,-0.0043
981500,-0.0301
999999,-0.2032
1000000,-0.2003
1070250,-0.1606
1060000,-0.0379
1055000,-0.0186
947000,-0.011
925000,0.0335
1050000,0.05
1057000,0.0628
1035000,0.0929
891500,-0.0576
925000,-0.0576
1050000,0.05
990000,-0.01
1050000,-0.0189
1070000,0.0094
1050000,-0.0047
965000,0.019
960000,0.0378
1075000,0.0238
1030500,-0.0251
1065000,0.029
1045000,0.1722
1100000,0.1892
1249400,0.1899
1159000,0.1707
975000,-0.0714
1159500,0.0836
1225000,0.1667
1231500,0.2762
1200000,0.25
1181000,0.0986
1175000,0.1402
1207400,0.1337
1228000,0.1751
1350000,0.2273
1375000,0.1005
1400000,0.2079
1400000,0.4359
1393000,0.2014
1330000,0.0857
1320000,0.0719
1330000,0.1083
1406500,0.1909
1438000,0.2238
1437250,0.1904
1435000,0.1686
1580000,0.2481
1685000,0.2255
